ref,value,footprint,,,,
C15,1.2pF,SM0402_c,1,,,
C14,2.7pF,SM0402_c,1,,,
C1,3.3pF,SM0402_c,2,,,
C2,3.3pF,SM0402_c,,,,
C23,9pF,SM0402_c,2,,,
C24,9pF,SM0402_c,,,,
C3,10pF,SM0402_c,1,,,
C7,22pF,SM0402_c,1,,,
C6,33pF,SM0402_c,1,,,
C10,56pF,SM0402_c,1,,,
C9,100pF,SM0402_c,3,,,
C11,100pF,SM0402_c,,,,
C17,100pF,SM0402_c,,,,
C5,1nF,SM0402_c,1,,,
C8,10nF,SM0402_c,1,,,
C22,150nF,SM0402_c,1,,,
C13,220nF,SM0402_c,8,,,
C16,220nF,SM0402_c,,,,
C18,220nF,SM0402_c,,,,
C19,220nF,SM0402_c,,,,
C20,220nF,SM0402_c,,,,
C21,220nF,SM0402_c,,,,
C25,220nF,SM0402_c,,,,
C26,220nF,SM0402_c,,,,
C4,4.7uF,SM0603_Capa,1,,,
C12,10uF,SM0603_Capa,1,2uF,SM0402_c,1
L4,1.3nH,SM0402,1,,,
L2,3nH,SM0402,1,,,
L5,3.3nH,SM0402,2,,,
L7,3.3nH,SM0402,,,,
L6,4.7nH,SM0402,1,,,
L8,6.2nH,SM0402,1,,,
L1,6.8nH,SM0402,2,,,
L3,6.8nH,SM0402,,,,
L9,12nH,SM0402,1,,,
L10,47nH,SM0603,1,,,
P1,CONN_1,SIL-1,1,,,
P2,CONN_7,SIL-7,1,,,
R1,50,SM0402_r,2,,,
R2,50,SM0402_r,,,,
R3,36k,SM0402_r,1,,,
R4,100K,SM0402_r,1,,,
U1,SE2435L,SE2435L,1,,,
U2,ADF7023,ADF7023,1,,,
X1,CRYSTAL,crystal_FA238-TSX3225,1,,,
